prim_lang_desc,acct_sts_cd,acct_sts_desc,acct_create_dt,acct_frst_actv_dt,acct_lst_discnt_dt,acct_lst_rcnt_dt,dtv_frst_actv_dt,dtv_actv_ind,blng_pmt_mthd_desc,blng_type_desc,rc1_acct_ind,dtv_lst_discnt_dt,dtv_lst_rcnt_dt,dtv_base_pkg_prd_cd,dtv_prev_bal_amt,dtv_lst_bl_bal_due_amt,dtv_lst_bl_pmt_mthd_cd,dtv_lst_bl_pmt_mthd_desc,contrct_type_cd,lst_cntrct_expr_dt,lst_cntrct_dur_in_mnth,cmbnd_bl_ind
English,D,Disconnect,3/13/2006,3/15/2006,8/28/2015,4/9/2009,3/15/2006,N,EFT,PAPER STMT,N,8/28/2015,4/9/2009,?,0,0,?,?,?,,,?
English,D,Disconnect,3/3/2006,3/7/2006,7/31/2015,12/26/2008,3/7/2006,N,CREDIT CARD,EBILL STMT,N,7/31/2015,12/26/2008,?,0,0,?,?,?,,,?
Spanish,D,Disconnect,2/27/2006,2/28/2006,9/17/2015,1/20/2009,2/28/2006,N,NONE,PAPER STMT,N,9/17/2015,1/20/2009,?,0,0,?,?,?,,,?
English,D,Disconnect,2/28/2006,3/3/2006,8/22/2015,5/15/2014,3/3/2006,N,LOCKBOX,PAPER STMT,N,8/22/2015,5/15/2014,?,0,0,?,?,?,,,?
English,D,Disconnect,3/14/2006,3/22/2006,9/13/2015,8/18/2012,3/22/2006,N,CREDIT CARD,PAPER STMT,N,9/13/2015,8/18/2012,?,0,0,?,?,?,,,?
Spanish,D,Disconnect,1/30/2006,2/10/2006,8/8/2015,10/9/2009,2/10/2006,N,LOCKBOX,PAPER STMT,N,8/8/2015,10/9/2009,?,0,0,?,?,?,1/1/1900,0,?
English,D,Disconnect,2/2/2006,2/6/2006,7/14/2015,7/7/2014,2/6/2006,N,NONE,PAPER STMT,N,7/14/2015,7/7/2014,?,0,0,?,?,?,1/1/1900,0,?
English,D,Disconnect,12/16/2005,1/3/2006,9/10/2015,6/17/2014,1/3/2006,N,LOCKBOX,PAPER STMT,N,9/10/2015,6/17/2014,?,0,0,?,?,?,,,?
English,D,Disconnect,1/4/2006,1/6/2006,9/16/2015,3/18/2014,1/6/2006,N,CREDIT CARD,PAPER STMT,N,9/16/2015,3/18/2014,?,0,0,?,?,?,,,?
English,D,Disconnect,1/5/2006,1/7/2006,9/14/2015,6/18/2015,1/7/2006,N,LOCKBOX,PAPER STMT,N,9/14/2015,6/18/2015,?,0,0,?,?,?,,,?
